row_number,strt_lon,strt_lat,end_lon,end_lat,m,km,minutes,hours
5056,-71.082578,42.345959,-71.066289,42.351146,2457,2.457,10.15,0.169166667
5057,-71.107593,42.383405,-71.13802,42.361667,5498,5.498,21.76666667,0.362777778
5058,-71.07131,42.360877,-71.050877,42.363871,3102,3.102,13.45,0.224166667
5059,-71.082578,42.345959,-71.105495,42.366426,3304,3.304,14.86666667,0.247777778
5060,-71.101427,42.374035,-71.059367,42.351356,5552,5.552,24.41666667,0.406944444
5061,-71.120886,42.373231,-71.085954,42.348717,6779,6.779,24.83333333,0.413888889
5062,-71.114214,42.366621,-71.060868,42.366231,7781,7.781,28.06666667,0.467777778
5063,-71.107593,42.383405,-71.102797,42.337171,9304,9.304,34.35,0.5725
5064,-71.123338,42.341598,-71.107593,42.383405,6229,6.229,26.53333333,0.442222222
5065,-71.090179,42.341814,-71.095319,42.379637,6729,6.729,27.86666667,0.464444444
5066,-71.121851,42.372244,-71.076163,42.347433,6691,6.691,26.43333333,0.440555556
5067,-71.076472,42.366981,-71.06514,42.361285,1837,1.837,10.26666667,0.171111111
5068,-71.120886,42.373231,-71.121851,42.372244,137,0.137,0.733333333,0.012222222
5069,-71.114214,42.366621,-71.085918,42.343864,4977,4.977,22.2,0.37
5070,-71.096413,42.386428,-71.105221,42.334073,9804,9.804,37.13333333,0.618888889
5071,-71.10042,42.363562,-71.124565,42.363732,2108,2.108,8.583333333,0.143055556
5072,-71.090179,42.341814,-71.120886,42.373231,6540,6.54,28.2,0.47
